Cost;Gamma;AUC Train;AUC Test
1;0.015625;0.5;0.5
1;0.03125;0.5;0.5
1;0.0625;0.602564102564103;0.665902140672783
1;0.125;0.727701746106654;0.871941896024465
1;0.25;0.831799591002045;0.86888379204893
1;0.5;0.857440616643071;0.831039755351682
1;1;0.935897435897436;0.665137614678899
1;2;1;0.5
1;4;1;0.5
1;8;1;0.5
1;16;1;0.5
1;32;1;0.5
1;64;1;0.5
1;128;1;0.5
1;256;1;0.5
1;512;1;0.5
1;1024;1;0.5
1;2048;1;0.5
1;4096;1;0.5
1;8192;1;0.5
1;16384;1;0.5
1;32768;1;0.5
2;3.0517578125e-05;0.5;0.5
2;6.103515625e-05;0.5;0.5
2;0.0001220703125;0.5;0.5
2;0.000244140625;0.5;0.5
2;0.00048828125;0.5;0.5
2;0.0009765625;0.5;0.5
2;0.001953125;0.5;0.5
2;0.00390625;0.5;0.5
2;0.0078125;0.5;0.5
2;0.015625;0.5;0.5
2;0.03125;0.627438257039484;0.748470948012232
2;0.0625;0.72693487494101;0.86888379204893
2;0.125;0.854373131980494;0.866590214067278
2;0.25;0.895902155104609;0.868119266055046
2;0.5;0.987179487179487;0.870412844036697
2;1;1;0.706039755351682
2;2;1;0.541666666666667
2;4;1;0.5
2;8;1;0.5
2;16;1;0.5
2;32;1;0.5
2;64;1;0.5
2;128;1;0.5
2;256;1;0.5
2;512;1;0.5
2;1024;1;0.5
2;2048;1;0.5
2;4096;1;0.5
2;8192;1;0.5
2;16384;1;0.5
2;32768;1;0.5
4;3.0517578125e-05;0.5;0.5
4;6.103515625e-05;0.5;0.5
4;0.0001220703125;0.5;0.5
4;0.000244140625;0.5;0.5
4;0.00048828125;0.5;0.5
4;0.0009765625;0.5;0.5
4;0.001953125;0.5;0.5
4;0.00390625;0.5;0.5
4;0.0078125;0.5;0.5
4;0.015625;0.627438257039484;0.831039755351682
4;0.03125;0.726168003775366;0.86888379204893
4;0.0625;0.828732106339468;0.867354740061162
4;0.125;0.895902155104609;0.867354740061162
4;0.25;0.934363693566148;0.865825688073395
4;0.5;1;0.869648318042813
4;1;1;0.706039755351682
4;2;1;0.541666666666667
4;4;1;0.5
4;8;1;0.5
4;16;1;0.5
4;32;1;0.5
4;64;1;0.5
4;128;1;0.5
4;256;1;0.5
4;512;1;0.5
4;1024;1;0.5
4;2048;1;0.5
4;4096;1;0.5
4;8192;1;0.5
4;16384;1;0.5
4;32768;1;0.5
8;3.0517578125e-05;0.5;0.5
8;6.103515625e-05;0.5;0.5
8;0.0001220703125;0.5;0.5
8;0.000244140625;0.5;0.5
8;0.00048828125;0.5;0.5
8;0.0009765625;0.5;0.5
8;0.001953125;0.5;0.5
8;0.00390625;0.5;0.5
8;0.0078125;0.627438257039484;0.831039755351682
8;0.015625;0.726168003775366;0.86888379204893
8;0.03125;0.777450055057417;0.86888379204893
8;0.0625;0.830265848670757;0.867354740061162
8;0.125;0.921543180745635;0.865061162079511
8;0.25;0.999233128834356;0.864296636085627
8;0.5;1;0.828746177370031
8;1;1;0.706039755351682
8;2;1;0.541666666666667
8;4;1;0.5
8;8;1;0.5
8;16;1;0.5
8;32;1;0.5
8;64;1;0.5
8;128;1;0.5
8;256;1;0.5
8;512;1;0.5
8;1024;1;0.5
8;2048;1;0.5
8;4096;1;0.5
8;8192;1;0.5
8;16384;1;0.5
8;32768;1;0.5
16;3.0517578125e-05;0.5;0.5
16;6.103515625e-05;0.5;0.5
16;0.0001220703125;0.5;0.5
16;0.000244140625;0.5;0.5
16;0.00048828125;0.5;0.5
16;0.0009765625;0.5;0.5
16;0.001953125;0.5;0.5
16;0.00390625;0.627438257039484;0.831039755351682
16;0.0078125;0.738988516595879;0.86888379204893
16;0.015625;0.764629542236904;0.86888379204893
16;0.03125;0.818212207015888;0.866590214067278
16;0.0625;0.870261129463583;0.866590214067278
16;0.125;0.960004719207173;0.862003058103976
16;0.25;1;0.865061162079511
16;0.5;1;0.828746177370031
16;1;1;0.706039755351682
16;2;1;0.541666666666667
16;4;1;0.5
16;8;1;0.5
16;16;1;0.5
16;32;1;0.5
16;64;1;0.5
16;128;1;0.5
16;256;1;0.5
16;512;1;0.5
16;1024;1;0.5
16;2048;1;0.5
16;4096;1;0.5
16;8192;1;0.5
16;16384;1;0.5
16;32768;1;0.5
32;3.0517578125e-05;0.5;0.5
32;6.103515625e-05;0.5;0.5
32;0.0001220703125;0.5;0.5
32;0.000244140625;0.5;0.5
32;0.00048828125;0.5;0.5
32;0.0009765625;0.5;0.5
32;0.001953125;0.627438257039484;0.830275229357798
32;0.00390625;0.738988516595879;0.86888379204893
32;0.0078125;0.751809029416391;0.86888379204893
32;0.015625;0.8166784646846;0.866590214067278
32;0.03125;0.843086361491269;0.865825688073395
32;0.0625;0.921543180745635;0.862003058103976
32;0.125;1;0.858180428134557
32;0.25;1;0.863532110091743
32;0.5;1;0.828746177370031
32;1;1;0.706039755351682
32;2;1;0.541666666666667
32;4;1;0.5
32;8;1;0.5
32;16;1;0.5
32;32;1;0.5
32;64;1;0.5
32;128;1;0.5
32;256;1;0.5
32;512;1;0.5
32;1024;1;0.5
32;2048;1;0.5
32;4096;1;0.5
32;8192;1;0.5
32;16384;1;0.5
32;32768;1;0.5
64;3.0517578125e-05;0.5;0.5
64;6.103515625e-05;0.5;0.5
64;0.0001220703125;0.5;0.5
64;0.000244140625;0.5;0.5
64;0.00048828125;0.5;0.5
64;0.0009765625;0.627438257039484;0.830275229357798
64;0.001953125;0.738988516595879;0.86888379204893
64;0.00390625;0.751809029416391;0.86888379204893
64;0.0078125;0.803857951864087;0.867354740061162
64;0.015625;0.855140003146138;0.865825688073395
64;0.03125;0.895902155104609;0.864296636085627
64;0.0625;0.972825232027686;0.85894495412844
64;0.125;1;0.859709480122324
64;0.25;1;0.863532110091743
64;0.5;1;0.828746177370031
64;1;1;0.706039755351682
64;2;1;0.541666666666667
64;4;1;0.5
64;8;1;0.5
64;16;1;0.5
64;32;1;0.5
64;64;1;0.5
64;128;1;0.5
64;256;1;0.5
64;512;1;0.5
64;1024;1;0.5
64;2048;1;0.5
64;4096;1;0.5
64;8192;1;0.5
64;16384;1;0.5
64;32768;1;0.5
128;3.0517578125e-05;0.5;0.5
128;6.103515625e-05;0.5;0.5
128;0.0001220703125;0.5;0.5
128;0.000244140625;0.5;0.5
128;0.00048828125;0.627438257039484;0.830275229357798
128;0.0009765625;0.726168003775366;0.868119266055046
128;0.001953125;0.751809029416391;0.86888379204893
128;0.00390625;0.791037439043574;0.867354740061162
128;0.0078125;0.841552619159981;0.866590214067278
128;0.015625;0.855906874311782;0.864296636085627
128;0.03125;0.921543180745635;0.859709480122324
128;0.0625;0.986412616013843;0.855886850152905
128;0.125;1;0.860474006116208
128;0.25;1;0.863532110091743
128;0.5;1;0.828746177370031
128;1;1;0.706039755351682
128;2;1;0.541666666666667
128;4;1;0.5
128;8;1;0.5
128;16;1;0.5
128;32;1;0.5
128;64;1;0.5
128;128;1;0.5
128;256;1;0.5
128;512;1;0.5
128;1024;1;0.5
128;2048;1;0.5
128;4096;1;0.5
128;8192;1;0.5
128;16384;1;0.5
128;32768;1;0.5
256;3.0517578125e-05;0.5;0.5
256;6.103515625e-05;0.5;0.5
256;0.0001220703125;0.5;0.5
256;0.000244140625;0.627438257039484;0.830275229357798
256;0.00048828125;0.726168003775366;0.868119266055046
256;0.0009765625;0.751809029416391;0.86888379204893
256;0.001953125;0.791037439043574;0.866590214067278
256;0.00390625;0.85360626081485;0.865825688073395
256;0.0078125;0.855140003146138;0.862003058103976
256;0.015625;0.908722667925122;0.863532110091743
256;0.03125;0.972825232027686;0.857415902140673
256;0.0625;1;0.856651376146789
256;0.125;1;0.860474006116208
256;0.25;1;0.863532110091743
256;0.5;1;0.828746177370031
256;1;1;0.706039755351682
256;2;1;0.541666666666667
256;4;1;0.5
256;8;1;0.5
256;16;1;0.5
256;32;1;0.5
256;64;1;0.5
256;128;1;0.5
256;256;1;0.5
256;512;1;0.5
256;1024;1;0.5
256;2048;1;0.5
256;4096;1;0.5
256;8192;1;0.5
256;16384;1;0.5
256;32768;1;0.5
512;3.0517578125e-05;0.5;0.5
512;6.103515625e-05;0.5;0.5
512;0.0001220703125;0.627438257039484;0.830275229357798
512;0.000244140625;0.726168003775366;0.868119266055046
512;0.00048828125;0.751809029416391;0.86888379204893
512;0.0009765625;0.79027056787793;0.866590214067278
512;0.001953125;0.85360626081485;0.865061162079511
512;0.00390625;0.852839389649206;0.865825688073395
512;0.0078125;0.867960515966651;0.861238532110092
512;0.015625;0.934363693566148;0.859709480122324
512;0.03125;0.986412616013843;0.854357798165138
512;0.0625;1;0.857415902140673
512;0.125;1;0.860474006116208
512;0.25;1;0.863532110091743
512;0.5;1;0.828746177370031
512;1;1;0.706039755351682
512;2;1;0.541666666666667
512;4;1;0.5
512;8;1;0.5
512;16;1;0.5
512;32;1;0.5
512;64;1;0.5
512;128;1;0.5
512;256;1;0.5
512;512;1;0.5
512;1024;1;0.5
512;2048;1;0.5
512;4096;1;0.5
512;8192;1;0.5
512;16384;1;0.5
512;32768;1;0.5
1024;3.0517578125e-05;0.5;0.5
1024;6.103515625e-05;0.627438257039484;0.830275229357798
1024;0.0001220703125;0.726168003775366;0.868119266055046
1024;0.000244140625;0.751809029416391;0.86888379204893
1024;0.00048828125;0.79027056787793;0.866590214067278
1024;0.0009765625;0.85360626081485;0.864296636085627
1024;0.001953125;0.852839389649206;0.865825688073395
1024;0.00390625;0.85360626081485;0.861238532110092
1024;0.0078125;0.895902155104609;0.862003058103976
1024;0.015625;0.972825232027686;0.856651376146789
1024;0.03125;1;0.854357798165138
1024;0.0625;1;0.857415902140673
1024;0.125;1;0.860474006116208
1024;0.25;1;0.863532110091743
1024;0.5;1;0.828746177370031
1024;1;1;0.706039755351682
1024;2;1;0.541666666666667
1024;4;1;0.5
1024;8;1;0.5
1024;16;1;0.5
1024;32;1;0.5
1024;64;1;0.5
1024;128;1;0.5
1024;256;1;0.5
1024;512;1;0.5
1024;1024;1;0.5
1024;2048;1;0.5
1024;4096;1;0.5
1024;8192;1;0.5
1024;16384;1;0.5
1024;32768;1;0.5
2048;3.0517578125e-05;0.627438257039484;0.830275229357798
2048;6.103515625e-05;0.726168003775366;0.868119266055046
2048;0.0001220703125;0.751809029416391;0.86888379204893
2048;0.000244140625;0.79027056787793;0.866590214067278
2048;0.00048828125;0.85360626081485;0.864296636085627
